pedigree,female,male,env,blue
A08140/R04104,A08140,R04104,19TA,67.489
A08140/R05386,A08140,R05386,19TA,67.774
A08140/R08303,A08140,R08303,19TA,68.949
A08140/R12156,A08140,R12156,19TA,68.844
A08158/R01302,A08158,R01302,19TA,67.399
A08158/R05330,A08158,R05330,19TA,67.679
A08158/R08224,A08158,R08224,19TA,67.039
A08158/R12145,A08158,R12145,19TA,68.094
A08158/RTx2912,A08158,RTx2912,19TA,66.434
A08158/RTx2917,A08158,RTx2917,19TA,67.039
A11076/R04060,A11076,R04060,19TA,68.144
A11076/R08297,A11076,R08297,19TA,67.934
A11076/R12154,A11076,R12154,19TA,65.799
A11076/RTx2918,A11076,RTx2918,19TA,67.414
A11076/RTx2940,A11076,RTx2940,19TA,68.194
A11085/R04104,A11085,R04104,19TA,66.484
A11085/R07178,A11085,R07178,19TA,67.194
A11085/RTx2942,A11085,RTx2942,19TA,67.264
AKS116/R02107,AKS116,R02107,19TA,67.939
AKS116/R12154,AKS116,R12154,19TA,68.059
AKS116/RTx2920,AKS116,RTx2920,19TA,67.279
AKS116/RTx2940,AKS116,RTx2940,19TA,66.114
AKS116/RTx2944,AKS116,RTx2944,19TA,66.624
AKS117/R12148,AKS117,R12148,19TA,68.394
AKS118/R12156,AKS118,R12156,19TA,68.239
AKS118/RTx2916,AKS118,RTx2916,19TA,67.239
AKS118/RTx2935,AKS118,RTx2935,19TA,66.959
AKS119/R05386,AKS119,R05386,19TA,66.619
AKS119/R05512,AKS119,R05512,19TA,66.119
AKS119/RTx2914,AKS119,RTx2914,19TA,66.969
AKS119/RTx2919,AKS119,RTx2919,19TA,67.894
AKS120/R04060,AKS120,R04060,19TA,68.099
AKS120/R07161,AKS120,R07161,19TA,66.564
AKS120/R08306,AKS120,R08306,19TA,68.234
AKS120/R12148,AKS120,R12148,19TA,68.124
AKS120/RTx2935,AKS120,RTx2935,19TA,67.794
AKS120/RTx2944,AKS120,RTx2944,19TA,66.799
AN263/R11208,AN263,R11208,19TA,69.154
AN263/RTx2935,AN263,RTx2935,19TA,68.134
AN263/RTx2938,AN263,RTx2938,19TA,67.059
AN268/R12148,AN268,R12148,19TA,67.184
AN290/R02107,AN290,R02107,19TA,68.604
AN290/R05386,AN290,R05386,19TA,67.574
AN290/R12154,AN290,R12154,19TA,68.834
AN290/RTx2920,AN290,RTx2920,19TA,67.804
AN290/RTx2943,AN290,RTx2943,19TA,68.314
ATx2921/R05330,ATx2921,R05330,19TA,68.999
ATx2921/R07178,ATx2921,R07178,19TA,68.044
ATx2921/R12157,ATx2921,R12157,19TA,68.609
ATx2921/RTx2918,ATx2921,RTx2918,19TA,67.564
ATx2923/R03248,ATx2923,R03248,19TA,67.814
ATx2923/R05405,ATx2923,R05405,19TA,67.739
ATx2923/R08297,ATx2923,R08297,19TA,68.644
ATx2923/R11208,ATx2923,R11208,19TA,68.524
ATx2923/RTx2913,ATx2923,RTx2913,19TA,67.949
