"","gy","ph","dy"
"A05071/R08224",4991.745,120.65,91.75
"A05071/R08297",4753.55,105.41,91
"A05071/R08303",5055.9205,97.79,91.25
"A05071/R08304",5311.6805,125.095,91.25
"A05071/R08306",5370.023,104.14,89
"A05071/R11158",5321.3735,118.745,89
"A05071/R11208",5336.116,100.965,91.25
"A05071/R12071",6016.143,112.395,86.75
"A05071/R12145",5405.7725,111.125,91.25
"A05071/R12148",5009.648,107.315,90.5
"A05071/R12154",5652.0045,114.935,89
"A05071/R12156",5491.361,109.855,92.5
"A05071/R12157",5003.341,113.665,91.25
"A05071/RTx2912",4368.8655,109.855,93
"A05071/RTx2913",5763.5225,121.285,90.75
"A05071/RTx2914",4740.082,120.015,90
"A05071/RTx2916",4799.3215,113.665,91.25
"A05071/RTx2917",4917.4755,105.41,90.25
"A05071/RTx2918",5569.7915,106.045,91.25
"A05071/RTx2919",4927.788,111.76,91.75
"A05071/RTx2920",4557.1725,97.79,88.5
"A05071/RTx2935",5576.5595,106.68,91.25
"A05071/RTx2936",5602.268,116.84,89
"A05071/RTx2937",4933.1645,104.775,90.75
"A05071/RTx2938",5183.5465,107.95,90
"A05071/RTx2939",5317.6705,118.745,91.75
"A05071/RTx2940",5178.8045,106.68,88.75
"A05071/RTx2941",3769.041,111.125,94.25
"A05071/RTx2942",5813.936,113.665,89
"A05071/RTx2943",5178.78,120.65,91.25
"A05071/RTx2944",4637.86,108.585,87.5
"A05210/R01302",6246.1895,121.92,90.5
"A05210/R02107",5229.5025,125.095,90.75
"A05210/R03248",6680.006,125.095,91.25
"A05210/R04060",7115.0615,127,91.75
"A05210/R04104",6097.4205,123.825,90.75
"A05210/R05330",6175.886,130.175,91.25
"A05210/R05386",6018.6195,115.57,92.5
"A05210/R05393",6065.439,118.745,92.25
"A05210/R05405",5951.0675,119.38,92.75
"A05210/R05425",5857.4355,121.285,90.25
"A05210/R05512",5737.44,120.65,93.5
"A05210/R07161",6709.9955,132.08,91
"A05210/R07178",6474.5835,120.65,91.75
"A05210/R08224",5964.928,133.35,93.5
"A05210/R08297",5726.733,118.11,92.75
"A05210/R08303",6029.1035,110.49,93
"A05210/R08304",6284.8635,137.795,93
"A05210/R08306",6343.206,116.84,90.75
"A05210/R11158",6294.5565,131.445,90.75
"A05210/R11208",6309.299,113.665,93
"A05210/R12071",6989.326,125.095,88.5
"A05210/R12145",6378.9555,123.825,93
"A05210/R12148",5982.831,120.015,92.25
"A05210/R12154",6625.1875,127.635,90.75
"A05210/R12156",6464.544,122.555,94.25
"A05210/R12157",5976.524,126.365,93
"A05210/RTx2912",5342.0485,122.555,94.75
"A05210/RTx2913",6736.7055,133.985,92.5
"A05210/RTx2914",5713.265,132.715,91.75
"A05210/RTx2916",5772.5045,126.365,93
"A05210/RTx2917",5890.6585,118.11,92
"A05210/RTx2918",6542.9745,118.745,93
"A05210/RTx2919",5900.971,124.46,93.5
"A05210/RTx2920",5530.3555,110.49,90.25
"A05210/RTx2935",6549.7425,119.38,93
"A05210/RTx2936",6575.451,129.54,90.75
"A05210/RTx2937",5906.3475,117.475,92.5
"A05210/RTx2938",6156.7295,120.65,91.75
