Env,Pedigree,Female,Male,RA,RO,Rep,Test,DY,PH,GY
19CS,A03040/86EON361,A03040,86EON361,3,316,1,SCHV,81,127,8249.900949
19CS,ATx2934/RTx2941,ATx2934,RTx2941,11,300,1,SCHV,82,142.24,8268.074906
19CS,ATx2931/R08297,ATx2931,R08297,11,312,1,SCHV,77,165.1,8268.074906
19CS,A11077/RTx2935,A11077,RTx2935,18,299,2,SCHV,83,129.54,8269.673951
19CS,ATx2934/86EON361,ATx2934,86EON361,11,252,1,SCHT,83,114.3,8269.80069
19CS,AKS116/RTx2920,AKS116,RTx2920,18,251,2,SCHT,74,111.76,8269.988986
19CS,ATx2931/R08304,ATx2931,R08304,11,264,1,SCHT,79,160.02,8270.062173
19CS,A05210/86EON361,A05210,86EON361,5,310,1,SCHV,79,154.94,8283.269124
19CS,A05210/88BE2668,A05210,88BE2668,5,262,1,SCHT,80,144.78,8284.367978
19CS,A03121/R08303,A03121,R08303,20,241,2,SCHT,80,119.38,8291.403052
19CS,A08134/R12148,A08134,R12148,20,289,2,SCHV,77,142.24,8291.973839
19CS,A03043/86EON361,A03043,86EON361,3,252,1,SCHT,83,119.38,8299.805283
19CS,A03054/R07161,A03054,R07161,3,300,1,SCHV,77,134.62,8300.749743
19CS,A11077/R12157,A11077,R12157,18,255,2,SCHT,83,134.62,8304.404024
19CS,A07118/R12148,A07118,R12148,18,303,2,SCHV,82,142.24,8305.608494
19CS,A08140/R04060,A08140,R04060,7,322,1,SCHV,79,142.24,8321.418282
19CS,A08140/R05386,A08140,R05386,7,274,1,SCHT,78,132.08,8321.931316
19CS,A08140/R12156,A08140,R12156,7,270,1,SCHT,80,137.16,8327.403843
19CS,A08140/R12148,A08140,R12148,7,318,1,SCHV,79,147.32,8327.812069
19CS,A03040/RTx2942,A03040,RTx2942,3,266,1,SCHT,78,142.24,8345.774962
19CS,ATx2921/R12157,ATx2921,R12157,14,239,2,SCHT,84,129.54,8345.99354
19CS,A03043/R01302,A03043,R01302,3,314,1,SCHV,81,132.08,8347.503115
19CS,A08158/RTx2939,A08158,RTx2939,14,287,2,SCHV,86,167.64,8347.766332
19CS,AN290/R05386,AN290,R05386,9,256,1,SCHT,79,111.76,8369.977055
19CS,A05269/RTx2936,A05269,RTx2936,5,300,1,SCHV,81,154.94,8370.543003
19CS,A05269/RTx2943,A05269,RTx2943,5,252,1,SCHT,80,165.1,8371.22099
19CS,AN290/R03248,AN290,R03248,9,304,1,SCHV,79,139.7,8371.811829
19CS,AHF14/86EON361,AHF14,86EON361,11,238,1,SCHT,80,127,8373.966442
19CS,AHF14/RTx2943,AHF14,RTx2943,11,286,1,SCHV,82,142.24,8374.850194
19CS,A06035/R05330,A06035,R05330,13,322,2,SCHV,79,147.32,8399.081739
19CS,A03055/RTx2918,A03055,RTx2918,13,274,2,SCHT,77,154.94,8400.059573
19CS,A07124/R05330,A07124,R05330,6,299,1,SCHV,83,152.4,8408.177092
19CS,A07124/R05425,A07124,R05425,6,251,1,SCHT,79,177.8,8410.109406
19CS,A03093/R12148,A03093,R12148,14,307,2,SCHV,79,149.86,8424.819603
19CS,A01362/R04060,A01362,R04060,14,259,2,SCHT,78,134.62,8425.449889
19CS,A03032/R04060,A03032,R04060,12,253,2,SCHT,84,121.92,8454.350459
19CS,AKS120/R08303,AKS120,R08303,12,301,2,SCHV,77,157.48,8455.136252
19CS,A05269/R12156,A05269,R12156,5,302,1,SCHV,82,134.62,8455.927101
19CS,A05269/RTx2919,A05269,RTx2919,5,254,1,SCHT,81,139.7,8457.387717
19CS,AKS120/R05425,AKS120,R05425,21,288,2,SCHV,79,162.56,8470.283211
19CS,A08140/R08303,A08140,R08303,21,240,2,SCHT,78,121.92,8471.853721
19CS,A05269/RTx2943,A05269,RTx2943,18,241,2,SCHT,79,137.16,8480.373705
19CS,A08158/RTx2914,A08158,RTx2914,18,289,2,SCHV,81,147.32,8482.982248
19CS,A03055/R08297,A03055,R08297,3,240,1,SCHT,81,139.7,8495.414156
19CS,A03055/RTx2936,A03055,RTx2936,3,288,1,SCHV,81,147.32,8495.465926
19CS,A08068/RTx2919,A08068,RTx2919,14,249,2,SCHT,80,134.62,8497.502929
19CS,A05269/R08306,A05269,R08306,5,304,1,SCHV,77,149.86,8498.015545
19CS,ATx2931/RTx2943,ATx2931,RTx2943,14,297,2,SCHV,80,162.56,8498.285941
19CS,A05269/R11208,A05269,R11208,5,256,1,SCHT,83,119.38,8499.639703
19CS,ATx2926/R01302,ATx2926,R01302,16,287,2,SCHV,81,154.94,8509.972788
19CS,AN290/R12154,AN290,R12154,16,239,2,SCHT,81,129.54,8511.22733
19CS,ATx2930/R02107,ATx2930,R02107,19,266,2,SCHT,77,162.56,8528.573157
19CS,A01021/RTx2917,A01021,RTx2917,19,314,2,SCHV,77,137.16,8529.625548
19CS,A07124/R05330,A07124,R05330,13,302,2,SCHV,81,152.4,8539.668484
19CS,ATx2924/R11158,ATx2924,R11158,13,254,2,SCHT,78,160.02,8542.180151
19CS,AKS116/RTx2944,AKS116,RTx2944,15,242,2,SCHT,75,137.16,8573.832161
19CS,ATx2923/R05330,ATx2923,R05330,15,290,2,SCHV,80,149.86,8574.983869
19CS,AKS118/86EON361,AKS118,86EON361,21,254,2,SCHT,82,119.38,8579.869899
19CS,AN263/RTx2936,AN263,RTx2936,21,302,2,SCHV,80,127,8582.391042
19CS,A03032/RTx2943,A03032,RTx2943,2,323,1,SCHV,82,124.46,8586.425445
19CS,A03040/R04104,A03040,R04104,2,275,1,SCHT,79,137.16,8587.552542
19CS,ATx2930/R07178,ATx2930,R07178,11,276,1,SCHT,79,162.56,8588.891193
19CS,ATx2930/R05425,ATx2930,R05425,11,324,1,SCHV,77,157.48,8590.646494
19CS,A08134/R05405,A08134,R05405,6,317,1,SCHV,75,180.34,8600.277853
19CS,A08134/R07178,A08134,R07178,6,269,1,SCHT,77,134.62,8601.70698
19CS,A07124/RTx2943,A07124,RTx2943,18,321,2,SCHV,79,154.94,8603.480131
19CS,A01021/R12145,A01021,R12145,18,273,2,SCHT,76,129.54,8605.284336
19CS,A03040/RTx2913,A03040,RTx2913,3,320,1,SCHV,77,165.1,8607.480435
19CS,A08140/R04060,A08140,R04060,13,316,2,SCHV,79,154.94,8608.603296
19CS,A03040/R12071,A03040,R12071,3,272,1,SCHT,77,132.08,8609.586084
19CS,ATx2923/RTx2913,ATx2923,RTx2913,13,268,2,SCHT,80,144.78,8609.989297
19CS,A03040/R03248,A03040,R03248,13,320,2,SCHV,75,144.78,8614.462872
19CS,ATx2926/R05393,ATx2926,R05393,13,272,2,SCHT,82,139.7,8615.288704
19CS,A05210/R12145,A05210,R12145,5,316,1,SCHV,83,149.86,8642.984858
19CS,A05210/R12154,A05210,R12154,5,268,1,SCHT,79,177.8,8643.803129
19CS,AKS120/RTx2935,AKS120,RTx2935,13,250,2,SCHT,75,162.56,8649.359694
19CS,A03055/RTx2936,A03055,RTx2936,13,298,2,SCHV,77,139.7,8651.818191
19CS,A03089/88BE2668,A03089,88BE2668,17,324,2,SCHV,81,139.7,8656.519012
19CS,A11085/R04104,A11085,R04104,17,276,2,SCHT,74,121.92,8658.267804
19CS,ATx644/86EON361,ATx644,86EON361,18,245,2,SCHT,82,116.84,8669.568009
19CS,A08068/R07161,A08068,R07161,18,293,2,SCHV,82,152.4,8672.186423
19CS,A03093/R08297,A03093,R08297,18,271,2,SCHT,79,132.08,8696.267646
19CS,ATx2926/R05405,ATx2926,R05405,18,319,2,SCHV,81,172.72,8696.473602
19CS,ATx2926/R07161,ATx2926,R07161,18,239,2,SCHT,82,160.02,8712.718284
19CS,ATx2924/R04060,ATx2924,R04060,18,287,2,SCHV,84,139.7,8714.752247
19CS,A03054/RTx2936,A03054,RTx2936,12,239,2,SCHT,83,124.46,8722.746144
19CS,ATx2931/RTx2936,ATx2931,RTx2936,12,287,2,SCHV,81,160.02,8724.522395
19CS,A03055/R07161,A03055,R07161,19,300,2,SCHV,83,147.32,8768.479681
19CS,AKS116/RTx2940,AKS116,RTx2940,19,252,2,SCHT,75,132.08,8770.737434
19CS,A03093/RTx2920,A03093,RTx2920,17,272,2,SCHT,75,129.54,8810.798626
19CS,ATx3408/R12145,ATx3408,R12145,17,320,2,SCHV,85,147.32,8811.877631
19CS,A08140/RTx2942,A08140,RTx2942,19,324,2,SCHV,77,142.24,8815.789997
19CS,A03121/R07178,A03121,R07178,19,276,2,SCHT,80,137.16,8818.089769
19CS,A08140/R07178,A08140,R07178,7,320,1,SCHV,79,144.78,8839.615349
19CS,A08140/R08303,A08140,R08303,7,272,1,SCHT,77,137.16,8840.799456
19CS,ATx2927/R12157,ATx2927,R12157,15,254,2,SCHT,81,142.24,8841.814123
19CS,ATx2923/R05425,ATx2923,R05425,15,302,2,SCHV,81,144.78,8842.176932
19CS,A05071/R05425,A05071,R05425,20,253,2,SCHT,79,167.64,8850.099509
19CS,ATx2921/R01302,ATx2921,R01302,20,301,2,SCHV,83,157.48,8851.882471
19CS,AKS119/R05386,AKS119,R05386,21,262,2,SCHT,81,132.08,8870.936735
19CS,A08134/R08297,A08134,R08297,21,310,2,SCHV,75,137.16,8871.668634
19CS,A03043/RTx2920,A03043,RTx2920,17,270,2,SCHT,78,119.38,8889.379969
19CS,ATx2930/R08303,ATx2930,R08303,17,318,2,SCHV,75,139.7,8891.077918
19CS,A03040/R07178,A03040,R07178,17,288,2,SCHV,80,149.86,8913.360458
19CS,A06036/RTx2940,A06036,RTx2940,17,240,2,SCHT,75,134.62,8913.935851
19CS,A06036/RTx2919,A06036,RTx2919,6,287,1,SCHV,84,134.62,8916.102703
19CS,A06036/RTx2940,A06036,RTx2940,6,239,1,SCHT,73,132.08,8916.728395
19CS,A07124/R05425,A07124,R05425,13,240,2,SCHT,80,165.1,8917.549429
19CS,A06035/RTx2943,A06035,RTx2943,13,288,2,SCHV,82,147.32,8919.269686
19CS,A01362/R08304,A01362,R08304,15,264,2,SCHT,80,144.78,8949.116612
19CS,A05071/RTx2918,A05071,RTx2918,15,312,2,SCHV,80,134.62,8950.999931
19CS,ATx2923/R03248,ATx2923,R03248,17,260,2,SCHT,75,142.24,8954.883894
19CS,A03089/R08224,A03089,R08224,17,308,2,SCHV,83,175.26,8955.510519
19CS,ATx2931/RTx2936,ATx2931,RTx2936,11,308,1,SCHV,78,172.72,8955.998069
19CS,ATx2931/RTx2940,ATx2931,RTx2940,11,260,1,SCHT,75,154.94,8956.836057
19CS,ATx2923/R05425,ATx2923,R05425,10,285,1,SCHV,77,154.94,8969.504705
19CS,ATx2923/R08297,ATx2923,R08297,10,237,1,SCHT,76,124.46,8970.285114
19CS,ATx2926/RTx2944,ATx2926,RTx2944,17,296,2,SCHV,79,154.94,8991.052629
19CS,A11085/RTx2942,A11085,RTx2942,17,248,2,SCHT,77,144.78,8991.367736
19CS,ATx2924/R08224,ATx2924,R08224,13,290,2,SCHV,81,170.18,8992.383073
19CS,ATx2924/R05386,ATx2924,R05386,13,242,2,SCHT,79,134.62,8994.620761
19CS,A11076/R12154,A11076,R12154,20,261,2,SCHT,82,149.86,9012.212338
19CS,A05071/R12154,A05071,R12154,20,309,2,SCHV,81,154.94,9013.418322
19CS,A07118/R12145,A07118,R12145,6,243,1,SCHT,85,116.84,9022.513801
19CS,A07118/R08304,A07118,R08304,6,291,1,SCHV,79,142.24,9023.606625
19CS,A08134/R04060,A08134,R04060,19,270,2,SCHT,75,139.7,9041.227479
19CS,ATx2926/RTx2919,ATx2926,RTx2919,17,274,2,SCHT,78,147.32,9042.784403
19CS,A05210/R05330,A05210,R05330,17,322,2,SCHV,81,160.02,9042.939337
19CS,AKS116/R12154,AKS116,R12154,18,257,2,SCHT,79,134.62,9043.517942
19CS,ATx2923/R11158,ATx2923,R11158,18,305,2,SCHV,79,152.4,9043.57046
19CS,A03055/RTx2943,A03055,RTx2943,19,318,2,SCHV,82,147.32,9043.649425
19CS,A03055/R07161,A03055,R07161,3,292,1,SCHV,83,149.86,9048.327514
19CS,A03054/RTx2941,A03054,RTx2941,3,244,1,SCHT,79,132.08,9048.641329
19CS,A08140/R07178,A08140,R07178,18,301,2,SCHV,81,134.62,9055.284826
19CS,A08068/86EON361,A08068,86EON361,18,253,2,SCHT,80,139.7,9056.963673
19CS,ATx2927/RTx2936,ATx2927,RTx2936,13,324,2,SCHV,79,152.4,9072.46095
19CS,A11076/R04060,A11076,R04060,7,256,1,SCHT,83,134.62,9073.084129
19CS,A08158/RTx2939,A08158,RTx2939,7,304,1,SCHV,84,170.18,9073.293674
19CS,ATx2934/86EON361,ATx2934,86EON361,13,276,2,SCHT,79,121.92,9073.645882
19CS,ATx2931/R08297,ATx2931,R08297,21,300,2,SCHV,79,154.94,9176.979748
19CS,A07118/R08224,A07118,R08224,21,252,2,SCHT,83,157.48,9178.344745
19CS,ATx2934/R12157,ATx2934,R12157,21,298,2,SCHV,82,132.08,9245.150633
19CS,ATx2921/R05330,ATx2921,R05330,21,250,2,SCHT,86,172.72,9245.727144
19CS,A07118/R12145,A07118,R12145,19,254,2,SCHT,82,124.46,9269.705156
19CS,A08158/R07178,A08158,R07178,19,302,2,SCHV,82,147.32,9270.387188
19CS,A08134/RTx2943,A08134,RTx2943,20,323,2,SCHV,75,177.8,9279.613552
19CS,ATx644/RTx2935,ATx644,RTx2935,20,275,2,SCHT,80,127,9281.726068
19CS,A08068/RTx2941,A08068,RTx2941,15,320,2,SCHV,79,144.78,9349.85129
19CS,ATx2927/RTx2937,ATx2927,RTx2937,15,272,2,SCHT,79,132.08,9351.913
19CS,ATx2924/86EON361,ATx2924,86EON361,10,305,1,SCHV,78,149.86,9387.356164
19CS,A11076/R07178,A11076,R07178,7,302,1,SCHV,83,139.7,9450.628814
19CS,A11076/R08297,A11076,R08297,7,254,1,SCHT,82,127,9451.100559
19CS,A05210/R12154,A05210,R12154,21,266,2,SCHT,81,167.64,9461.310818
19CS,A05071/R08297,A05071,R08297,21,314,2,SCHV,80,139.7,9462.776292
19CS,A08134/R05405,A08134,R05405,16,301,2,SCHV,75,185.42,9472.469268
19CS,A07124/RTx2935,A07124,RTx2935,16,253,2,SCHT,78,147.32,9473.09417
19CS,ATx2930/RTx2940,ATx2930,RTx2940,13,248,2,SCHT,75,137.16,9488.382398
19CS,A01021/R11158,A01021,R11158,13,296,2,SCHV,75,165.1,9490.215497
19CS,ATx2921/R05405,ATx2921,R05405,9,294,1,SCHV,83,165.1,9530.523635
19CS,ATx2921/R07178,ATx2921,R07178,9,246,1,SCHT,84,144.78,9531.462603
19CS,ATx2921/R05405,ATx2921,R05405,16,295,2,SCHV,83,162.56,9576.582473
19CS,A05269/86EON361,A05269,86EON361,16,247,2,SCHT,83,134.62,9577.36701
19CS,ATx2934/R05386,ATx2934,R05386,21,270,2,SCHT,77,132.08,9693.888708
19CS,A03093/R02107,A03093,R02107,21,276,2,SCHT,80,129.54,9695.068059
19CS,A06036/R04104,A06036,R04104,21,318,2,SCHV,78,121.92,9695.998772
19CS,A05071/RTx2942,A05071,RTx2942,21,324,2,SCHV,77,144.78,9696.102862
19CS,A07118/R08304,A07118,R08304,13,314,2,SCHV,81,149.86,9724.605705
19CS,AN290/R02107,AN290,R02107,13,266,2,SCHT,78,137.16,9724.972869
19CS,A01362/RTx2919,A01362,RTx2919,21,274,2,SCHT,81,116.84,9758.421092
19CS,A05269/R12156,A05269,R12156,21,322,2,SCHV,82,132.08,9760.633571
19CS,A05269/RTx2936,A05269,RTx2936,20,313,2,SCHV,82,149.86,9808.956675
19CS,ATx2930/R12154,ATx2930,R12154,20,265,2,SCHT,79,137.16,9809.846021
19CS,A05210/86EON361,A05210,86EON361,19,320,2,SCHV,82,142.24,9842.287761
19CS,AKS118/RTx2916,AKS118,RTx2916,19,272,2,SCHT,81,144.78,9843.010699
19CS,A07124/R11208,A07124,R11208,15,308,2,SCHV,79,129.54,9853.467317
19CS,A05269/R05330,A05269,R05330,15,260,2,SCHT,79,165.1,9854.88546
19CS,A08140/R04104,A08140,R04104,7,276,1,SCHT,78,127,9977.514445
19CS,A08134/RTx2943,A08134,RTx2943,7,324,1,SCHV,75,157.48,9977.514445
19CS,A03043/R04104,A03043,R04104,21,264,2,SCHT,81,129.54,10037.85819
19CS,ATx2934/RTx2941,ATx2934,RTx2941,21,312,2,SCHV,82,132.08,10038.17287
19CS,A05071/R04060,A05071,R04060,21,304,2,SCHV,84,142.24,10286.97781
19CS,A03043/R01122,A03043,R01122,21,256,2,SCHT,87,124.46,10287.86238
19CS,ATx2931/R07161,ATx2931,R07161,15,276,2,SCHT,77,172.72,10419.64789
19CS,A08134/RTx2936,A08134,RTx2936,15,324,2,SCHV,72,167.64,10421.29879
19CS,A01021/RTx2943,A01021,RTx2943,21,294,2,SCHV,75,154.94,10500.14971
19CS,ATx2926/RTx2913,ATx2926,RTx2913,21,246,2,SCHT,84,147.32,10501.35542
19CS,A05210/RTx2937,A05210,RTx2937,21,268,2,SCHT,80,139.7,10758.3001
19CS,A05269/88BE2668,A05269,88BE2668,21,316,2,SCHV,82,142.24,10760.09174
19TA,AKS116/R02107,AKS116,R02107,17,28,2,SCHT,67,157.48,3772.33276
19TA,A06036/RTx2940,A06036,RTx2940,26,29,2,SCHT,67,121.92,3897.86796
19TA,AKS116/RTx2940,AKS116,RTx2940,11,24,1,SCHT,65,147.32,3992.01936
19TA,AKS119/R05386,AKS119,R05386,12,27,1,SCHT,71,134.62,4017.1264
19TA,A03043/R08297,A03043,R08297,4,23,1,SCHT,70,137.16,4017.1264
19TA,AKS119/RTx2914,AKS119,RTx2914,12,31,1,SCHT,69,160.02,4224.25948
19TA,AKS116/R02107,AKS116,R02107,11,30,1,SCHT,69,157.48,4274.47356
19TA,AKS116/RTx2940,AKS116,RTx2940,29,40,2,SCHT,66,152.4,4349.79468
19TA,AKS116/RTx2944,AKS116,RTx2944,23,34,2,SCHT,64,137.16,4475.32988
19TA,AKS116/RTx2920,AKS116,RTx2920,27,38,2,SCHT,64,132.08,4657.35592
19TA,AKS116/RTx2920,AKS116,RTx2920,11,26,1,SCHT,65,134.62,4789.16788
19TA,AKS116/R12154,AKS116,R12154,11,28,1,SCHT,66,139.7,4807.99816
19TA,A06036/RTx2940,A06036,RTx2940,8,23,1,SCHT,66,124.46,4820.55168
19TA,A03054/RTx2941,A03054,RTx2941,4,37,1,SCHT,70,129.54,4820.55168
19TA,A03043/RTx2920,A03043,RTx2920,4,27,1,SCHT,71,142.24,4826.82844
19TA,AKS116/RTx2944,AKS116,RTx2944,11,22,1,SCHT,66,147.32,4877.04252
19TA,AN290/RTx2920,AN290,RTx2920,13,24,1,SCHT,68,137.16,4895.8728
19TA,A03043/R08297,A03043,R08297,32,35,2,SCHT,73,137.16,4914.70308
19TA,A03121/R08303,A03121,R08303,6,19,1,SCHT,72,132.08,4920.97984
19TA,AKS120/RTx2944,AKS120,RTx2944,13,40,1,SCHT,65,160.02,4920.97984
19TA,A08158/R08224,A08158,R08224,10,21,1,SCHT,73,165.1,5027.68476
19TA,A06036/R08306,A06036,R08306,8,19,1,SCHT,69,147.32,5033.96152
19TA,AKS120/R08306,AKS120,R08306,12,39,1,SCHT,67,157.48,5134.38968
19TA,AKS119/RTx2914,AKS119,RTx2914,31,42,2,SCHT,69,152.4,5140.66644
19TA,A08158/R12145,A08158,R12145,10,23,1,SCHT,73,139.7,5190.88052
19TA,ATx644/RTx2935,ATx644,RTx2935,17,40,1,SCHT,69,147.32,5190.88052
19TA,AKS119/R05386,AKS119,R05386,31,22,2,SCHT,70,132.08,5203.43404
19TA,ATx2923/R03248,ATx2923,R03248,14,21,1,SCHT,69,147.32,5209.7108
19TA,A03043/R04104,A03043,R04104,31,24,2,SCHT,71,132.08,5234.81784
19TA,A08158/R08224,A08158,R08224,25,28,2,SCHT,73,165.1,5253.64812
19TA,ATx2934/R05386,ATx2934,R05386,16,31,1,SCHT,67,137.16,5259.92488
19TA,AN268/R12148,AN268,R12148,13,32,1,SCHT,69,127,5297.58544
19TA,AKS119/R05512,AKS119,R05512,12,29,1,SCHT,70,152.4,5303.8622
19TA,ATx2934/R05386,ATx2934,R05386,31,30,2,SCHT,67,137.16,5310.13896
19TA,A03093/RTx2944,A03093,RTx2944,5,20,1,SCHT,69,119.38,5328.96924
19TA,ATx2931/R01302,ATx2931,R01302,16,21,1,SCHT,68,162.56,5335.246
19TA,ATx2931/R11208,ATx2931,R11208,16,27,1,SCHT,69,111.76,5360.35304
19TA,AKS120/R07161,AKS120,R07161,12,37,1,SCHT,71,167.64,5360.35304
19TA,A08134/RTx2940,A08134,RTx2940,9,26,1,SCHT,65,139.7,5372.90656
19TA,A08158/RTx2917,A08158,RTx2917,10,27,1,SCHT,70,152.4,5372.90656
19TA,AKS119/R05512,AKS119,R05512,30,23,2,SCHT,70,139.7,5454.50444
19TA,ATx2930/RTx2940,ATx2930,RTx2940,16,19,1,SCHT,68,142.24,5485.88824
19TA,A03054/RTx2936,A03054,RTx2936,4,35,1,SCHT,69,127,5492.165
19TA,A03043/RTx2920,A03043,RTx2920,25,34,2,SCHT,72,132.08,5498.44176
19TA,A08134/RTx2940,A08134,RTx2940,26,33,2,SCHT,65,132.08,5504.71852
19TA,ATx644/R05330,ATx644,R05330,20,37,2,SCHT,71,142.24,5510.99528
19TA,ATx2924/R05512,ATx2924,R05512,14,35,1,SCHT,71,147.32,5510.99528
19TA,AKS119/RTx2919,AKS119,RTx2919,12,33,1,SCHT,70,157.48,5510.99528
19TA,A06035/RTx2917,A06035,RTx2917,7,20,1,SCHT,70,129.54,5523.5488
19TA,ATx2927/RTx2937,ATx2927,RTx2937,15,26,1,SCHT,70,139.7,5523.5488
19TA,ATx644/R05330,ATx644,R05330,17,42,1,SCHT,72,149.86,5536.10232
19TA,ATx2930/R02107,ATx2930,R02107,15,24,1,SCHT,69,157.48,5573.76288
19TA,A05210/R05405,A05210,R05405,6,37,1,SCHT,70,172.72,5573.76288
19TA,A11085/RTx2942,A11085,RTx2942,11,32,1,SCHT,68,144.78,5598.86992
19TA,A03043/R04104,A03043,R04104,4,19,1,SCHT,72,134.62,5605.14668
19TA,AKS116/R12154,AKS116,R12154,27,32,2,SCHT,68,137.16,5611.42344
19TA,ATx2923/RTx2936,ATx2923,RTx2936,14,31,1,SCHT,71,154.94,5617.7002
19TA,A03093/R02107,A03093,R02107,5,30,1,SCHT,70,132.08,5630.25372
19TA,AKS120/RTx2944,AKS120,RTx2944,23,20,2,SCHT,65,154.94,5636.53048
19TA,A05210/R03248,A05210,R03248,6,35,1,SCHT,69,144.78,5655.36076
19TA,A08068/R11158,A08068,R11158,9,40,1,SCHT,69,147.32,5661.63752
19TA,AKS120/R04060,AKS120,R04060,12,35,1,SCHT,71,154.94,5686.74456
19TA,A03040/R12071,A03040,R12071,3,24,1,SCHT,66,152.4,5693.02132
19TA,AKS117/R12148,AKS117,R12148,11,20,1,SCHT,71,142.24,5705.57484
19TA,A03121/R08303,A03121,R08303,29,20,2,SCHT,74,144.78,5711.8516
19TA,A05071/RTx2936,A05071,RTx2936,28,35,2,SCHT,69,137.16,5718.12836
19TA,A06035/88BE2668,A06035,88BE2668,8,17,1,SCHT,70,129.54,5730.68188
19TA,A05210/R08224,A05210,R08224,6,39,1,SCHT,73,172.72,5736.95864
19TA,A03089/RTx2917,A03089,RTx2917,5,32,1,SCHT,70,144.78,5749.51216
19TA,A03055/RTx2944,A03055,RTx2944,5,38,1,SCHT,69,137.16,5774.6192
19TA,ATx644/RTx2935,ATx644,RTx2935,31,38,2,SCHT,69,142.24,5774.6192
19TA,A07124/RTx2935,A07124,RTx2935,8,41,1,SCHT,69,132.08,5780.89596
19TA,A01362/RTx2919,A01362,RTx2919,2,41,1,SCHT,70,134.62,5780.89596
19TA,AHF14/86EON361,AHF14,86EON361,17,34,2,SCHT,70,137.16,5787.17272
19TA,A03121/RTx2913,A03121,RTx2913,6,21,1,SCHT,73,152.4,5818.55652
19TA,A01021/R02107,A01021,R02107,29,32,2,SCHT,67,157.48,5818.55652
19TA,A01021/R02107,A01021,R02107,2,17,1,SCHT,69,152.4,5824.83328
19TA,A01046/R05386,A01046,R05386,2,27,1,SCHT,70,119.38,5831.11004
19TA,A05071/R02107,A05071,R02107,6,25,1,SCHT,69,139.7,5837.3868
19TA,AN290/RTx2920,AN290,RTx2920,29,36,2,SCHT,68,142.24,5843.66356
19TA,A03093/RTx2920,A03093,RTx2920,25,36,2,SCHT,69,121.92,5856.21708
19TA,A03054/R05405,A03054,R05405,4,31,1,SCHT,69,147.32,5856.21708
19TA,A03055/RTx2942,A03055,RTx2942,5,40,1,SCHT,70,147.32,5856.21708
19TA,AKS118/RTx2935,AKS118,RTx2935,12,23,1,SCHT,70,139.7,5862.49384
19TA,AN268/R12148,AN268,R12148,30,39,2,SCHT,69,134.62,5868.7706
19TA,A03040/R12154,A03040,R12154,30,19,2,SCHT,67,142.24,5875.04736
19TA,AKS118/RTx2916,AKS118,RTx2916,12,21,1,SCHT,70,142.24,5875.04736
19TA,A11076/RTx2918,A11076,RTx2918,10,35,1,SCHT,70,142.24,5887.60088
19TA,ATx2924/RTx2936,ATx2924,RTx2936,18,37,2,SCHT,70,157.48,5887.60088
19TA,A03121/RTx2935,A03121,RTx2935,6,23,1,SCHT,70,132.08,5900.1544
19TA,A03089/RTx2917,A03089,RTx2917,20,27,2,SCHT,70,144.78,5900.1544
19TA,AKS120/R08306,AKS120,R08306,20,35,2,SCHT,67,157.48,5912.70792
19TA,A06035/RTx2936,A06035,RTx2936,7,18,1,SCHT,69,142.24,5925.26144
19TA,A01362/RTx2912,A01362,RTx2912,2,39,1,SCHT,73,137.16,5931.5382
19TA,A03040/R12071,A03040,R12071,21,24,2,SCHT,66,152.4,5944.09172
19TA,A08068/86EON361,A08068,86EON361,9,36,1,SCHT,70,132.08,5950.36848
19TA,A06035/R03248,A06035,R03248,7,24,1,SCHT,70,134.62,5956.64524
19TA,A11076/R12154,A11076,R12154,10,33,1,SCHT,69,147.32,5956.64524
19TA,A03040/R05393,A03040,R05393,3,28,1,SCHT,69,152.4,5962.922
19TA,AN290/R05386,AN290,R05386,13,28,1,SCHT,69,132.08,5969.19876
19TA,A06036/R08306,A06036,R08306,21,22,2,SCHT,67,149.86,5969.19876
19TA,ATx2926/R08304,ATx2926,R08304,15,34,1,SCHT,69,162.56,5975.47552
19TA,A05269/RTx2943,A05269,RTx2943,7,28,1,SCHT,70,162.56,5975.47552
19TA,A03093/RTx2920,A03093,RTx2920,5,22,1,SCHT,69,124.46,5981.75228
19TA,ATx2926/R05393,ATx2926,R05393,15,38,1,SCHT,70,142.24,5994.3058
19TA,A11085/R04104,A11085,R04104,11,36,1,SCHT,69,137.16,6019.41284
19TA,A08134/R04060,A08134,R04060,9,34,1,SCHT,70,147.32,6031.96636
19TA,A08158/R01302,A08158,R01302,10,17,1,SCHT,70,147.32,6044.51988
19TA,ATx2930/R05393,ATx2930,R05393,15,22,1,SCHT,70,147.32,6044.51988
19TA,A01046/RTx2914,A01046,RTx2914,2,31,1,SCHT,71,132.08,6050.79664
19TA,A08134/RTx2918,A08134,RTx2918,9,28,1,SCHT,65,149.86,6057.0734
19TA,A11085/R04104,A11085,R04104,25,40,2,SCHT,66,137.16,6063.35016
19TA,AKS119/RTx2919,AKS119,RTx2919,25,18,2,SCHT,70,157.48,6063.35016
19TA,A01362/R05512,A01362,R05512,2,35,1,SCHT,73,144.78,6075.90368
19TA,AKS120/R07161,AKS120,R07161,26,25,2,SCHT,72,165.1,6082.18044
19TA,A07118/R12145,A07118,R12145,8,27,1,SCHT,72,124.46,6088.4572
19TA,A06035/88BE2668,A06035,88BE2668,17,18,2,SCHT,72,127,6088.4572
