wave,V1,V2
736,0.711366276,2.12E-57
736.5,0.710759731,2.91E-57
737,0.710152769,4.00E-57
737.5,0.709545084,5.48E-57
738,0.70893687,7.51E-57
738.5,0.708328298,1.03E-56
739,0.707719503,1.41E-56
739.5,0.707110295,1.92E-56
740,0.706501001,2.63E-56
740.5,0.705891448,3.59E-56
741,0.70528177,4.90E-56
741.5,0.704671897,6.69E-56
742,0.704061877,9.11E-56
742.5,0.703451637,1.24E-55
743,0.702841071,1.69E-55
743.5,0.702230115,2.30E-55
744,0.701618791,3.12E-55
744.5,0.701007142,4.24E-55
745,0.70039519,5.76E-55
745.5,0.699782861,7.82E-55
746,0.699170317,1.06E-54
746.5,0.698557628,1.44E-54
747,0.697944868,1.95E-54
747.5,0.697332052,2.63E-54
748,0.696719176,3.56E-54
748.5,0.696106478,4.81E-54
749,0.695493891,6.49E-54
749.5,0.694881209,8.75E-54
750,0.69426856,1.18E-53
750.5,0.693655709,1.59E-53
751,0.693042737,2.14E-53
751.5,0.692429394,2.88E-53
752,0.691815883,3.87E-53
752.5,0.691201959,5.20E-53
753,0.690587583,6.98E-53
753.5,0.689972618,9.37E-53
754,0.689357475,1.26E-52
754.5,0.688741891,1.69E-52
755,0.688126081,2.26E-52
755.5,0.687510197,3.02E-52
756,0.686894244,4.05E-52
756.5,0.686278174,5.41E-52
757,0.685662405,7.23E-52
757.5,0.685046966,9.65E-52
758,0.684431893,1.29E-51
758.5,0.683817257,1.71E-51
759,0.683203214,2.28E-51
759.5,0.682589745,3.04E-51
760,0.681976802,4.03E-51
760.5,0.681364436,5.35E-51
761,0.680752235,7.10E-51
761.5,0.680140217,9.41E-51
762,0.679528293,1.25E-50
762.5,0.678915775,1.65E-50
763,0.678302909,2.18E-50
763.5,0.677689436,2.89E-50
764,0.677075159,3.82E-50
764.5,0.676459981,5.04E-50
765,0.675843769,6.67E-50
765.5,0.67522707,8.80E-50
766,0.67460978,1.16E-49
766.5,0.673992043,1.53E-49
767,0.673374576,2.02E-49
767.5,0.672757263,2.67E-49
768,0.672140522,3.51E-49
768.5,0.671524777,4.62E-49
769,0.670909815,6.06E-49
769.5,0.670296415,7.95E-49
770,0.669683913,1.04E-48
770.5,0.669072721,1.36E-48
771,0.668462579,1.78E-48
771.5,0.667853274,2.33E-48
772,0.667244853,3.04E-48
772.5,0.666637168,3.96E-48
773,0.666030064,5.16E-48
773.5,0.665423257,6.72E-48
774,0.664817208,8.74E-48
