"","pedigree","female","male","env","blue"
"370","A01046/R11208","A01046","R11208","19TA",6380.3265
"371","A01046/RTx2914","A01046","RTx2914","19TA",6254.7913
"372","A01362/R04060","A01362","R04060","19TA",6640.8121
"373","A01362/R05512","A01362","R05512","19TA",6352.0811
"374","A01362/R08304","A01362","R08304","19TA",6797.7311
"375","A01362/RTx2912","A01362","RTx2912","19TA",6427.4022
"376","A01362/RTx2919","A01362","RTx2919","19TA",6141.8097
"377","A01362/RTx2943","A01362","RTx2943","19TA",6361.4963
"378","A03017/R04104","A03017","R04104","19TA",6960.9268
"379","A03017/RTx2918","A03017","RTx2918","19TA",6804.0078
"380","A03032/R04060","A03032","R04060","19TA",7331.2557
"381","A03032/RTx2913","A03032","RTx2913","19TA",7456.7909
"382","A03032/RTx2942","A03032","RTx2942","19TA",6929.543
"383","A03040/R04104","A03040","R04104","19TA",7714.138
"384","A03040/R05393","A03040","R05393","19TA",6414.8487
"385","A03040/R08306","A03040","R08306","19TA",7124.1226
"386","A03040/R12071","A03040","R12071","19TA",5818.5565
"387","A03040/R12154","A03040","R12154","19TA",6166.9167
"388","A03040/RTx2917","A03040","RTx2917","19TA",6402.2952
"389","A03040/RTx2942","A03040","RTx2942","19TA",6766.3473
"390","A03043/R04104","A03043","R04104","19TA",5419.9823
"391","A03043/R05386","A03043","R05386","19TA",6574.9061
"392","A03043/R08297","A03043","R08297","19TA",4465.9147
"393","A03043/R12148","A03043","R12148","19TA",7293.5951
"394","A03043/RTx2920","A03043","RTx2920","19TA",5162.6351
"395","A03054/R05405","A03054","R05405","19TA",6578.0445
"396","A03054/R12156","A03054","R12156","19TA",6888.7441
"397","A03054/RTx2936","A03054","RTx2936","19TA",6157.5016
"398","A03054/RTx2941","A03054","RTx2941","19TA",5714.99
"399","A03055/R05330","A03055","R05330","19TA",7042.5247
"400","A03055/R08297","A03055","R08297","19TA",6637.6737
"401","A03055/RTx2918","A03055","RTx2918","19TA",6549.7991
"402","A03055/RTx2942","A03055","RTx2942","19TA",6339.5276
"403","A03055/RTx2944","A03055","RTx2944","19TA",5991.1674
"404","A03089/R05393","A03089","R05393","19TA",6377.1882
"405","A03089/R12157","A03089","R12157","19TA",6530.9688
"406","A03089/RTx2917","A03089","RTx2917","19TA",5824.8333
"407","A03093/R02107","A03093","R02107","19TA",5865.6322
"408","A03093/R05405","A03093","R05405","19TA",7045.6631
"409","A03093/R08297","A03093","R08297","19TA",7205.7205
"410","A03093/RTx2913","A03093","RTx2913","19TA",6465.0628
"411","A03093/RTx2920","A03093","RTx2920","19TA",5918.9847
"412","A03093/RTx2944","A03093","RTx2944","19TA",6104.1491
"413","A03121/R05330","A03121","R05330","19TA",7183.7518
