pedigree,female,male,env,blue
A03089/R05393,A03089,R05393,19TA,71
A03089/R12157,A03089,R12157,19TA,73
A03089/RTx2917,A03089,RTx2917,19TA,70
A03093/R02107,A03093,R02107,19TA,70
A03093/R05405,A03093,R05405,19TA,70
A03093/R08297,A03093,R08297,19TA,70.5
A03093/RTx2913,A03093,RTx2913,19TA,72
A03093/RTx2920,A03093,RTx2920,19TA,69
A03093/RTx2944,A03093,RTx2944,19TA,69
A03121/R05330,A03121,R05330,19TA,71
A03121/R07178,A03121,R07178,19TA,70
A03121/R08303,A03121,R08303,19TA,73
A03121/RTx2913,A03121,RTx2913,19TA,73
A03121/RTx2935,A03121,RTx2935,19TA,70
A05071/R02107,A05071,R02107,19TA,69
A05071/R05330,A05071,R05330,19TA,72
A05071/R05425,A05071,R05425,19TA,69.5
A05071/R11158,A05071,R11158,19TA,69
A05071/RTx2936,A05071,RTx2936,19TA,69.5
A05210/R03248,A05210,R03248,19TA,69.5
A05210/R05405,A05210,R05405,19TA,70
A05210/R08224,A05210,R08224,19TA,73
A05210/R12154,A05210,R12154,19TA,70
A05210/RTx2937,A05210,RTx2937,19TA,69
A05210/RTx2943,A05210,RTx2943,19TA,69.5
A05269/R05330,A05269,R05330,19TA,70.5
A05269/R08303,A05269,R08303,19TA,69
A05269/R11208,A05269,R11208,19TA,70.5
A05269/RTx2919,A05269,RTx2919,19TA,69.5
A05269/RTx2943,A05269,RTx2943,19TA,70
A06035/R03248,A06035,R03248,19TA,70
A06035/R12154,A06035,R12154,19TA,70.5
A06035/RTx2917,A06035,RTx2917,19TA,70
A06035/RTx2936,A06035,RTx2936,19TA,69.5
A06036/R08306,A06036,R08306,19TA,68
A06036/RTx2940,A06036,RTx2940,19TA,66.5
A07118/R08224,A07118,R08224,19TA,71
A07118/R12145,A07118,R12145,19TA,71.5
A07118/R12157,A07118,R12157,19TA,70
A07118/RTx2944,A07118,RTx2944,19TA,69
A07124/R04060,A07124,R04060,19TA,70
A07124/R05425,A07124,R05425,19TA,69
A07124/R11158,A07124,R11158,19TA,69.5
A07124/RTx2917,A07124,RTx2917,19TA,70
A07124/RTx2935,A07124,RTx2935,19TA,69
A08068/R03248,A08068,R03248,19TA,69.5
A08068/R11158,A08068,R11158,19TA,69
A08068/RTx2919,A08068,RTx2919,19TA,69.5
A08134/R04060,A08134,R04060,19TA,70
A08134/R07178,A08134,R07178,19TA,68.5
A08134/R11158,A08134,R11158,19TA,66.5
A08134/RTx2918,A08134,RTx2918,19TA,66
A08134/RTx2940,A08134,RTx2940,19TA,65
A08140/R04104,A08140,R04104,19TA,69.5
A08140/R05386,A08140,R05386,19TA,69
A08140/R08303,A08140,R08303,19TA,68
A08140/R12156,A08140,R12156,19TA,69.5
A08158/R01302,A08158,R01302,19TA,71
A08158/R05330,A08158,R05330,19TA,70.5
A08158/R08224,A08158,R08224,19TA,73
A08158/R12145,A08158,R12145,19TA,73.5
A08158/RTx2912,A08158,RTx2912,19TA,71.5
A08158/RTx2917,A08158,RTx2917,19TA,70.5
A11076/R04060,A11076,R04060,19TA,73.5
A11076/R08297,A11076,R08297,19TA,71.5
A11076/R12154,A11076,R12154,19TA,70.5
A11076/RTx2918,A11076,RTx2918,19TA,70
A11076/RTx2940,A11076,RTx2940,19TA,69.5
A11085/R04104,A11085,R04104,19TA,67.5
A11085/R07178,A11085,R07178,19TA,69.5
A11085/RTx2942,A11085,RTx2942,19TA,68.5
AKS116/R02107,AKS116,R02107,19TA,68
AKS116/R12154,AKS116,R12154,19TA,67
AKS116/RTx2920,AKS116,RTx2920,19TA,64.5
AKS116/RTx2940,AKS116,RTx2940,19TA,65.5
AKS116/RTx2944,AKS116,RTx2944,19TA,65
AKS117/R12148,AKS117,R12148,19TA,71.5
AKS118/R12156,AKS118,R12156,19TA,73.5
AKS118/RTx2916,AKS118,RTx2916,19TA,71.5
AKS118/RTx2935,AKS118,RTx2935,19TA,69.5
AKS119/R05386,AKS119,R05386,19TA,70.5
AKS119/R05512,AKS119,R05512,19TA,70
AKS119/RTx2914,AKS119,RTx2914,19TA,69
AKS119/RTx2919,AKS119,RTx2919,19TA,70
AKS120/R04060,AKS120,R04060,19TA,70
AKS120/R07161,AKS120,R07161,19TA,71.5
AKS120/R08306,AKS120,R08306,19TA,67
AKS120/R12148,AKS120,R12148,19TA,69.5
AKS120/RTx2935,AKS120,RTx2935,19TA,69
AKS120/RTx2944,AKS120,RTx2944,19TA,65
AN263/R11208,AN263,R11208,19TA,71
AN263/RTx2935,AN263,RTx2935,19TA,70
AN263/RTx2938,AN263,RTx2938,19TA,70.5
AN268/R12148,AN268,R12148,19TA,69
AN290/R02107,AN290,R02107,19TA,70
AN290/R05386,AN290,R05386,19TA,69.5
AN290/R12154,AN290,R12154,19TA,71
AN290/RTx2920,AN290,RTx2920,19TA,68
AN290/RTx2943,AN290,RTx2943,19TA,70
ATx2921/R05330,ATx2921,R05330,19TA,72.5
ATx2921/R07178,ATx2921,R07178,19TA,73
ATx2921/R12157,ATx2921,R12157,19TA,71
ATx2921/RTx2918,ATx2921,RTx2918,19TA,71
ATx2923/R03248,ATx2923,R03248,19TA,69.5
ATx2923/R05405,ATx2923,R05405,19TA,69.5
ATx2923/R08297,ATx2923,R08297,19TA,69.5
