pedigree,female,male,env,blue
AKS116/R12154,AKS116,R12154,19TA,2.891
AKS116/RTx2920,AKS116,RTx2920,19TA,2.816
AKS116/RTx2940,AKS116,RTx2940,19TA,2.726
AKS116/RTx2944,AKS116,RTx2944,19TA,3.121
AKS117/R12148,AKS117,R12148,19TA,2.821
AKS118/R12156,AKS118,R12156,19TA,3.556
AKS118/RTx2916,AKS118,RTx2916,19TA,3.356
AKS118/RTx2935,AKS118,RTx2935,19TA,3.586
AKS119/R05386,AKS119,R05386,19TA,3.031
AKS119/R05512,AKS119,R05512,19TA,2.921
AKS119/RTx2914,AKS119,RTx2914,19TA,3.206
AKS119/RTx2919,AKS119,RTx2919,19TA,3.236
AKS120/R04060,AKS120,R04060,19TA,3.451
AKS120/R07161,AKS120,R07161,19TA,3.311
AKS120/R08306,AKS120,R08306,19TA,3.306
AKS120/R12148,AKS120,R12148,19TA,3.366
AKS120/RTx2935,AKS120,RTx2935,19TA,3.246
AKS120/RTx2944,AKS120,RTx2944,19TA,3.051
AN263/R11208,AN263,R11208,19TA,3.126
AN263/RTx2935,AN263,RTx2935,19TA,3.281
AN263/RTx2938,AN263,RTx2938,19TA,3.631
AN268/R12148,AN268,R12148,19TA,3.041
AN290/R02107,AN290,R02107,19TA,3.016
AN290/R05386,AN290,R05386,19TA,2.216
AN290/R12154,AN290,R12154,19TA,3.126
AN290/RTx2920,AN290,RTx2920,19TA,2.971
AN290/RTx2943,AN290,RTx2943,19TA,3.351
ATx2921/R05330,ATx2921,R05330,19TA,2.701
ATx2921/R07178,ATx2921,R07178,19TA,3.086
ATx2921/R12157,ATx2921,R12157,19TA,2.626
ATx2921/RTx2918,ATx2921,RTx2918,19TA,2.976
ATx2923/R03248,ATx2923,R03248,19TA,2.906
ATx2923/R05405,ATx2923,R05405,19TA,2.941
ATx2923/R08297,ATx2923,R08297,19TA,2.691
ATx2923/R11208,ATx2923,R11208,19TA,2.571
ATx2923/RTx2913,ATx2923,RTx2913,19TA,2.811
